Cod_Venta,Numero_Documento,Tipo_Documento,Correlativo,Codigo_Unidad,Codigo_Empresa,Codigo_Tipo_Documento,Codigo_Unidad_Venta,CodigoVendedor,Codigo_Cliente,Codigo_Tipo_Facturacion,Codigo_Almacen,Codigo_Ubigeo,Codigo_Condicion_Pago,Codigo_Tienda,Numero_Signo,Fecha_Documento,Venta_MonNacional,Venta_MonExtranjera
21,0104-0000002133,BOL,1,1,1,AJP,1,4157,11050,VSE,1101,1390,1101,1100,1,00:00.0,59,18.1538
22,0104-0000002134,BOL,1,1,1,AJP,1,4159,11051,VSE,1101,1390,1101,1100,1,00:00.0,559.99,172.3046
23,0104-0000002135,BOL,1,1,1,AJP,1,4160,11012,VSE,1101,1390,1101,1100,1,00:00.0,28.6,8.8
24,0104-0000002136,BOL,1,1,1,AJP,1,4146,11015,VSE,1101,1390,1101,1100,1,00:00.0,66.5,20.4615
25,0104-0000002137,BOL,1,1,1,AJP,1,4147,11030,VSE,1101,1390,1101,1100,1,00:00.0,68.5,21.0769
26,0104-0000002138,BOL,1,1,1,AJP,1,4151,11022,VSE,1101,1390,1101,1100,1,00:00.0,77.6,23.8769
27,0104-0000002139,BOL,1,1,1,AJP,1,4158,11024,VSE,1101,1390,1101,1100,1,00:00.0,119.6,36.8
28,0104-0000002140,BOL,1,1,1,AJP,1,4149,11010,VSE,1101,1390,1101,1100,1,00:00.0,38.5,11.8462
29,0104-0000002141,BOL,1,1,1,AJP,1,4143,11034,VSE,1101,1390,1101,1100,1,00:00.0,75.95,23.3692
30,0104-0000002142,BOL,1,1,1,AJP,1,4145,11043,VSE,1101,1390,1101,1100,1,00:00.0,79.45,24.4462
31,0104-0000002143,BOL,1,1,1,AJP,1,4154,11008,VSE,1101,1390,1101,1100,1,00:00.0,85.4,26.2769
32,0104-0000002144,BOL,1,1,1,AJP,1,4155,11045,VSE,1101,1390,1101,1100,1,00:00.0,79.99,24.6123
33,0104-0000002145,BOL,1,1,1,AJP,1,4142,11047,VSE,1101,1390,1101,1100,1,00:00.0,81.23,24.9938
34,0104-0000002146,BOL,1,1,1,AJP,1,4144,11021,VSE,1101,1390,1101,1100,1,00:00.0,84.966,26.1434
35,0104-0000002147,BOL,1,1,1,AJP,1,4150,11013,VSE,1101,1390,1101,1100,1,00:00.0,87.04,26.7815
36,0104-0000002148,BOL,1,1,1,AJP,1,4153,11048,VSE,1101,1390,1101,1100,1,00:00.0,55.964,17.2197
37,0104-0000002149,BOL,1,1,1,AJP,1,4152,11005,VSE,1101,1390,1101,1100,1,00:00.0,26.69,8.2123
38,0104-0000002150,BOL,1,1,1,AJP,1,4148,11033,VSE,1101,1390,1101,1100,1,00:00.0,71.57,22.0215
39,0104-0000002151,BOL,1,1,1,AJP,1,4156,11023,VSE,1101,1390,1101,1100,1,00:00.0,68,20.9231
40,0104-0000002152,BOL,1,1,1,AJP,1,4157,11041,VSE,1101,1390,1101,1100,1,00:00.0,64.566,19.8665
41,0104-0000002153,BOL,1,1,1,AJP,1,4159,11042,VSE,1101,1390,1101,1100,1,00:00.0,64.566,19.8665
42,0104-0000002154,BOL,1,1,1,AJP,1,4160,11035,VSE,1101,1390,1101,1100,1,00:00.0,57.766,17.7742
43,0104-0000002155,BOL,1,1,1,AJP,1,4146,11040,VSE,1101,1390,1101,1100,1,00:00.0,82.62,25.4215
44,0104-0000002156,BOL,1,1,1,AJP,1,4147,11031,VSE,1101,1390,1101,1100,1,00:00.0,74.766,23.0049
45,0104-0000002157,BOL,1,1,1,AJP,1,4151,11032,VSE,1101,1390,1101,1100,1,00:00.0,74.8,23.0154
46,0104-0000002158,BOL,1,1,1,AJP,1,4158,11001,VSE,1101,1390,1101,1100,1,00:00.0,122.366,37.6511
47,0104-0000002159,BOL,1,1,1,AJP,1,4149,11014,VSE,1101,1390,1101,1100,1,00:00.0,96.9,29.8154
48,0104-0000002160,BOL,1,1,1,AJP,1,4143,11003,VSE,1101,1390,1101,1100,1,00:00.0,62.9,19.3538
49,0104-0000002161,BOL,1,1,1,AJP,1,4145,11009,VSE,1101,1390,1101,1100,1,00:00.0,102.85,31.6462
50,0104-0000002163,BOL,1,1,1,AJP,1,4155,11007,VSE,1101,1390,1101,1100,1,00:00.0,68,20.9231
51,0104-0000002164,BOL,1,1,1,AJP,1,4142,11016,VSE,1101,1390,1101,1100,1,00:00.0,84.966,26.1434
52,0104-0000002165,BOL,1,1,1,AJP,1,4144,11019,VSE,1101,1390,1101,1100,1,00:00.0,78.2,24.0615
53,0104-0000002166,BOL,1,1,1,AJP,1,4150,11017,VSE,1101,1390,1101,1100,1,00:00.0,57.766,17.7742
54,0104-0000002167,BOL,1,1,1,AJP,1,4153,11020,VSE,1101,1390,1101,1100,1,00:00.0,37.4,11.5077
55,0104-0000002168,BOL,1,1,1,AJP,1,4152,11025,VSE,1101,1390,1101,1100,1,00:00.0,38.54,11.8585
56,0104-0000002169,BOL,1,1,1,AJP,1,4148,11037,VSE,1101,1390,1101,1100,1,00:00.0,56.3,17.3231
57,0104-0000002170,BOL,1,1,1,AJP,1,4156,11038,VSE,1101,1390,1101,1100,1,00:00.0,801.856,246.7249
58,0104-0000002171,BOL,1,1,1,AJP,1,4157,11046,VSE,1101,1390,1101,1100,1,00:00.0,901.952,277.5237
59,0104-0000002172,BOL,1,1,1,AJP,1,4159,11053,VSE,1101,1390,1101,1100,1,00:00.0,1760.01,541.5415
60,0104-0000002174,BOL,1,1,1,AJP,1,4146,11011,VSE,1101,1390,1101,1100,1,00:00.0,454.24,139.7662
61,0104-0000002175,BOL,1,1,1,AJP,1,4147,11026,VSE,1101,1390,1101,1100,1,00:00.0,357.952,110.1391
62,0104-0000002176,BOL,1,1,1,AJP,1,4151,11027,VSE,1101,1390,1101,1100,1,00:00.0,288.048,88.6302
63,0104-0000002177,BOL,1,1,1,AJP,1,4158,20034,VSE,1101,1390,1100,1100,1,00:00.0,1037.68,319.2862
64,0104-0000002178,BOL,1,1,1,AJP,1,4149,20026,VSE,1101,1390,1100,1100,1,00:00.0,2117.69,651.5969
65,0104-0000002179,BOL,1,1,1,AJP,1,4143,20021,VSE,1101,1390,1100,1100,1,00:00.0,1035.98,318.7631
66,0104-0000002180,BOL,1,1,1,AJP,1,4145,20013,VSE,1101,1390,1100,1100,1,00:00.0,391.68,120.5169
67,0104-0000002181,BOL,1,1,1,AJP,1,4154,20006,VSE,1101,1390,1100,1100,1,00:00.0,744.532,229.0868
68,0104-0000002182,BOL,1,1,1,AJP,1,4155,20005,VSE,1101,1390,1100,1100,1,00:00.0,703.766,216.5434
69,0104-0000002183,BOL,1,1,1,AJP,1,4142,20040,VSE,1101,1390,1100,1100,1,00:00.0,581.366,178.8818
70,0104-0000002184,BOL,1,1,1,AJP,1,4144,20039,VSE,1101,1390,1100,1100,1,00:00.0,476,146.4615
71,0104-0000002185,BOL,1,1,1,AJP,1,4150,20047,VSE,1101,1390,1100,1100,1,00:00.0,510,156.9231
72,0104-0000002186,BOL,1,1,1,AJP,1,4153,20046,VSE,1101,1390,1100,1100,1,00:00.0,424.966,130.7588
73,0104-0000002187,BOL,1,1,1,AJP,1,4152,20061,VSE,1101,1390,1100,1100,1,00:00.0,642.26,197.6185
74,0104-0000002188,BOL,1,1,1,AJP,1,4148,20064,VSE,1101,1390,1100,1100,1,00:00.0,642.26,197.6185
75,0104-0000002189,BOL,1,1,1,AJP,1,4156,20068,VSE,1101,1390,1100,1100,1,00:00.0,679.966,209.2203
76,0104-0000002190,BOL,1,1,1,AJP,1,4157,20069,VSE,1101,1390,1100,1100,1,00:00.0,747.966,230.1434
77,0104-0000002191,BOL,1,1,1,AJP,1,4159,20072,VSE,1101,1390,1100,1100,1,00:00.0,510,156.9231
78,0104-0000002192,BOL,1,1,1,AJP,1,4160,20041,VSE,1101,1390,1100,1100,1,00:00.0,642.26,197.6185
79,0104-0000002193,BOL,1,1,1,AJP,1,4146,20050,VSE,1101,1390,1100,1100,1,00:00.0,901,277.2308
80,0104-0000002194,BOL,1,1,1,AJP,1,4147,20049,VSE,1101,1390,1100,1100,1,00:00.0,67.592,20.7975
81,0104-0000002195,BOL,1,1,1,AJP,1,4151,20037,VSE,1101,1390,1100,1100,1,00:00.0,339.966,104.6049
82,0104-0000002196,BOL,1,1,1,AJP,1,4158,20043,VSE,1101,1390,1100,1100,1,00:00.0,256.666,78.9742
83,0104-0000002197,BOL,1,1,1,AJP,1,4149,20008,VSE,1101,1390,1100,1100,1,00:00.0,1356.6,417.4154
84,0104-0000002198,BOL,1,1,1,AJP,1,4143,20023,VSE,1101,1390,1100,1100,1,00:00.0,2499,768.9231
85,0104-0000002199,BOL,1,1,1,AJP,1,4145,20028,VSE,1101,1390,1100,1100,1,00:00.0,546.856,168.2634
86,0104-0000006126,BOL,1,1,1,AJP,1,4190,11020,VSE,1100,1383,1101,1102,1,00:00.0,500,153.8462
87,0104-0000006127,BOL,1,1,1,AJP,1,4182,11025,VSE,1100,1383,1101,1102,1,00:00.0,112.166,34.5126
88,0104-0000006128,BOL,1,1,1,AJP,1,4187,11017,VSE,1100,1383,1101,1102,1,00:00.0,452.404,139.2012
89,0104-0000006129,BOL,1,1,1,AJP,1,4188,11037,VSE,1100,1383,1101,1102,1,00:00.0,3056.6,940.4923
90,0104-0000006130,BOL,1,1,1,AJP,1,4192,11038,VSE,1100,1383,1101,1102,1,00:00.0,2699.6,830.6462
91,0104-0000006131,BOL,1,1,1,AJP,1,4191,11046,VSE,1100,1383,1101,1102,1,00:00.0,4080,1255.3846
92,0104-0000006132,BOL,1,1,1,AJP,1,4180,11053,VSE,1100,1383,1101,1102,1,00:00.0,38,11.6923
93,0104-0000006133,BOL,1,1,1,AJP,1,4193,11011,VSE,1100,1383,1101,1102,1,00:00.0,65.5,20.1538
94,0104-0000006134,BOL,1,1,1,AJP,1,4195,11036,VSE,1100,1383,1101,1102,1,00:00.0,85.8,26.4
95,0104-0000006135,BOL,1,1,1,AJP,1,4194,11018,VSE,1100,1383,1101,1102,1,00:00.0,59.99,18.4585
96,0104-0000006136,BOL,1,1,1,AJP,1,4189,11026,VSE,1100,1383,1101,1102,1,00:00.0,71.85,22.1077
97,0104-0000006137,BOL,1,1,1,AJP,1,4185,11027,VSE,1100,1383,1101,1102,1,00:00.0,36.9,11.3538
98,0104-0000006138,BOL,1,1,1,AJP,1,4186,11039,VSE,1100,1383,1101,1102,1,00:00.0,45.6,14.0308
99,0104-0000006139,BOL,1,1,1,AJP,1,4184,11006,VSE,1100,1383,1101,1102,1,00:00.0,55.1,16.9538
100,0104-0000006140,BOL,1,1,1,AJP,1,4190,11029,VSE,1100,1383,1101,1102,1,00:00.0,117.8,36.2462
101,0104-0000006141,BOL,1,1,1,AJP,1,4182,11004,VSE,1100,1383,1101,1102,1,00:00.0,414.596,127.568
102,0104-0000006142,BOL,1,1,1,AJP,1,4187,11002,VSE,1100,1383,1101,1102,1,00:00.0,131.274,40.392
103,0104-0000006143,BOL,1,1,1,AJP,1,4188,11028,VSE,1100,1383,1101,1102,1,00:00.0,197.37,60.7292
104,0104-0000006144,BOL,1,1,1,AJP,1,4192,11052,VSE,1100,1383,1101,1102,1,00:00.0,883.966,271.9895
105,0104-0000006145,BOL,1,1,1,AJP,1,4191,11012,VSE,1100,1383,1101,1102,1,00:00.0,205.5,63.2308
106,0104-0000006146,BOL,1,1,1,AJP,1,4180,11044,VSE,1100,1383,1101,1102,1,00:00.0,56.2,17.2923
107,0104-0000006147,BOL,1,1,1,AJP,1,4193,11049,VSE,1100,1383,1101,1102,1,00:00.0,59,18.1538
108,0104-0000006148,BOL,1,1,1,AJP,1,4195,11050,VSE,1100,1383,1101,1102,1,00:00.0,75.85,23.3385
109,0104-0000006149,BOL,1,1,1,AJP,1,4194,11051,VSE,1100,1383,1101,1102,1,00:00.0,559.99,172.3046
110,0104-0000006191,BOL,1,1,1,AJP,1,4194,20047,VSE,1100,1383,1100,1102,1,00:00.0,1904,585.8462
111,0104-0000006192,BOL,1,1,1,AJP,1,4189,20048,VSE,1100,1383,1100,1102,1,00:00.0,6053.7,1862.6769
112,0104-0000006193,BOL,1,1,1,AJP,1,4185,20054,VSE,1100,1383,1100,1102,1,00:00.0,2548.3,784.0923
113,0104-0000006194,BOL,1,1,1,AJP,1,4186,20062,VSE,1100,1383,1100,1102,1,00:00.0,416.5,128.1538
114,0104-0000006195,BOL,1,1,1,AJP,1,4184,20058,VSE,1100,1383,1100,1102,1,00:00.0,198.56,61.0954
115,0104-0000006196,BOL,1,1,1,AJP,1,4190,20051,VSE,1100,1383,1100,1102,1,00:00.0,2480.3,763.1692
116,0104-0000006197,BOL,1,1,1,AJP,1,4182,20009,VSE,1100,1383,1100,1102,1,00:00.0,1359.966,418.4511
117,0104-0000006198,BOL,1,1,1,AJP,1,4187,20013,VSE,1100,1383,1100,1102,1,00:00.0,1037.68,319.2862
118,0104-0000006199,BOL,1,1,1,AJP,1,4188,20012,VSE,1100,1383,1100,1102,1,00:00.0,2117.69,651.5969
119,0104-0000006200,BOL,1,1,1,AJP,1,4192,20011,VSE,1100,1383,1100,1102,1,00:00.0,1035.98,318.7631
120,0104-0000006201,BOL,1,1,1,AJP,1,4191,20024,VSE,1100,1383,1100,1102,1,00:00.0,391.68,120.5169
121,0104-0000006202,BOL,1,1,1,AJP,1,4180,20025,VSE,1100,1383,1100,1102,1,00:00.0,744.532,229.0868
122,0104-0000006203,BOL,1,1,1,AJP,1,4193,20028,VSE,1100,1383,1100,1102,1,00:00.0,703.766,216.5434
123,0104-0000006204,BOL,1,1,1,AJP,1,4195,20066,VSE,1100,1383,1100,1102,1,00:00.0,581.366,178.8818
124,0104-0000006205,BOL,1,1,1,AJP,1,4194,20043,VSE,1100,1383,1100,1102,1,00:00.0,476,146.4615
125,0104-0000006206,BOL,1,1,1,AJP,1,4189,20052,VSE,1100,1383,1100,1102,1,00:00.0,510,156.9231
126,0104-0000006207,BOL,1,1,1,AJP,1,4185,20014,VSE,1100,1383,1100,1102,1,00:00.0,424.966,130.7588
127,0104-0000006208,BOL,1,1,1,AJP,1,4186,20008,VSE,1100,1383,1100,1102,1,00:00.0,642.26,197.6185
128,0104-0000006209,BOL,1,1,1,AJP,1,4184,20005,VSE,1100,1383,1100,1102,1,00:00.0,625.26,192.3877
129,0104-0000006213,BOL,1,1,1,AJP,1,4191,11003,VSE,1100,1383,1101,1102,1,00:00.0,25.5,7.8462
130,0104-0000007894,BOL,1,1,1,AJP,1,4207,20029,VSE,1101,1422,1100,1103,1,00:00.0,112.166,34.5126
131,0104-0000007895,BOL,1,1,1,AJP,1,4205,20027,VSE,1101,1422,1100,1103,1,00:00.0,452.404,139.2012
132,0104-0000007896,BOL,1,1,1,AJP,1,4213,20034,VSE,1101,1422,1100,1103,1,00:00.0,3056.6,940.4923
133,0104-0000007897,BOL,1,1,1,AJP,1,4210,20032,VSE,1101,1422,1100,1103,1,00:00.0,2699.6,830.6462
134,0104-0000007898,BOL,1,1,1,AJP,1,4214,20035,VSE,1101,1422,1100,1103,1,00:00.0,4080,1255.3846
135,0104-0000007899,BOL,1,1,1,AJP,1,4215,20036,VSE,1101,1422,1100,1103,1,00:00.0,58.9,18.1231
136,0104-0000007900,BOL,1,1,1,AJP,1,4199,20021,VSE,1101,1422,1100,1103,1,00:00.0,55.1,16.9538
137,0104-0000007901,BOL,1,1,1,AJP,1,4209,20031,VSE,1101,1422,1100,1103,1,00:00.0,45.6,14.0308
138,0104-0000007902,BOL,1,1,1,AJP,1,4203,20025,VSE,1101,1422,1100,1103,1,00:00.0,36.9,11.3538
139,0104-0000007903,BOL,1,1,1,AJP,1,4208,20030,VSE,1101,1422,1100,1103,1,00:00.0,197.37,60.7292
140,0104-0000007904,BOL,1,1,1,AJP,1,4201,20023,VSE,1101,1422,1100,1103,1,00:00.0,131.274,40.392
141,0104-0000007905,BOL,1,1,1,AJP,1,4206,20028,VSE,1101,1422,1100,1103,1,00:00.0,414.596,127.568
142,0104-0000007907,BOL,1,1,1,AJP,1,4202,20024,VSE,1101,1422,1100,1103,1,00:00.0,65.5,20.1538
143,0104-0000007908,BOL,1,1,1,AJP,1,4200,20022,VSE,1101,1422,1100,1103,1,00:00.0,42.9,13.2
144,0104-0000007909,BOL,1,1,1,AJP,1,4204,20026,VSE,1101,1422,1100,1103,1,00:00.0,71.85,22.1077
145,0104-0000007910,BOL,1,1,1,AJP,1,4216,20037,VSE,1101,1422,1100,1103,1,00:00.0,59.99,18.4585
146,0104-0000007911,BOL,1,1,1,AJP,1,4207,11028,VSE,1101,1422,1101,1103,1,00:00.0,883.966,271.9895
147,0104-0000007912,BOL,1,1,1,AJP,1,4205,11052,VSE,1101,1422,1101,1103,1,00:00.0,205.5,63.2308
148,0104-0000007913,BOL,1,1,1,AJP,1,4213,11044,VSE,1101,1422,1101,1103,1,00:00.0,75.85,23.3385
149,0104-0000007914,BOL,1,1,1,AJP,1,4210,11049,VSE,1101,1422,1101,1103,1,00:00.0,56.2,17.2923
150,0104-0000007915,BOL,1,1,1,AJP,1,4214,11050,VSE,1101,1422,1101,1103,1,00:00.0,59,18.1538
151,0104-0000007916,BOL,1,1,1,AJP,1,4215,11051,VSE,1101,1422,1101,1103,1,00:00.0,559.99,172.3046
152,0104-0000007917,BOL,1,1,1,AJP,1,4199,11012,VSE,1101,1422,1101,1103,1,00:00.0,28.6,8.8
153,0104-0000007918,BOL,1,1,1,AJP,1,4209,11015,VSE,1101,1422,1101,1103,1,00:00.0,66.5,20.4615
154,0104-0000007919,BOL,1,1,1,AJP,1,4203,11030,VSE,1101,1422,1101,1103,1,00:00.0,68.5,21.0769
155,0104-0000007920,BOL,1,1,1,AJP,1,4208,11022,VSE,1101,1422,1101,1103,1,00:00.0,77.6,23.8769
156,0104-0000007921,BOL,1,1,1,AJP,1,4201,11024,VSE,1101,1422,1101,1103,1,00:00.0,119.6,36.8
157,0104-0000007922,BOL,1,1,1,AJP,1,4206,11010,VSE,1101,1422,1101,1103,1,00:00.0,38.5,11.8462
158,0104-0000007923,BOL,1,1,1,AJP,1,4211,11034,VSE,1101,1422,1101,1103,1,00:00.0,75.95,23.3692
159,0104-0000007924,BOL,1,1,1,AJP,1,4202,11043,VSE,1101,1422,1101,1103,1,00:00.0,79.45,24.4462
160,0104-0000007925,BOL,1,1,1,AJP,1,4200,11008,VSE,1101,1422,1101,1103,1,00:00.0,85.4,26.2769
161,0104-0000007926,BOL,1,1,1,AJP,1,4204,11045,VSE,1101,1422,1101,1103,1,00:00.0,79.99,24.6123
162,0104-0000007927,BOL,1,1,1,AJP,1,4216,11047,VSE,1101,1422,1101,1103,1,00:00.0,81.23,24.9938
163,0104-0000007928,BOL,1,1,1,AJP,1,4207,11021,VSE,1101,1422,1101,1103,1,00:00.0,84.966,26.1434
164,0104-0000007929,BOL,1,1,1,AJP,1,4205,11013,VSE,1101,1422,1101,1103,1,00:00.0,87.04,26.7815
165,0104-0000007930,BOL,1,1,1,AJP,1,4213,11048,VSE,1101,1422,1101,1103,1,00:00.0,55.964,17.2197
166,0104-0000007931,BOL,1,1,1,AJP,1,4210,11005,VSE,1101,1422,1101,1103,1,00:00.0,26.69,8.2123
167,0104-0000007932,BOL,1,1,1,AJP,1,4214,11033,VSE,1101,1422,1101,1103,1,00:00.0,71.57,22.0215
168,0104-0000007933,BOL,1,1,1,AJP,1,4215,11023,VSE,1101,1422,1101,1103,1,00:00.0,68,20.9231
169,0104-0000007934,BOL,1,1,1,AJP,1,4199,11041,VSE,1101,1422,1101,1103,1,00:00.0,64.566,19.8665
170,0104-0000007935,BOL,1,1,1,AJP,1,4209,11042,VSE,1101,1422,1101,1103,1,00:00.0,64.566,19.8665
171,0104-0000007936,BOL,1,1,1,AJP,1,4203,11035,VSE,1101,1422,1101,1103,1,00:00.0,57.766,17.7742
172,0104-0000007937,BOL,1,1,1,AJP,1,4208,11040,VSE,1101,1422,1101,1103,1,00:00.0,82.62,25.4215
173,0104-0000007938,BOL,1,1,1,AJP,1,4201,11031,VSE,1101,1422,1101,1103,1,00:00.0,74.766,23.0049
174,0104-0000007939,BOL,1,1,1,AJP,1,4206,11032,VSE,1101,1422,1101,1103,1,00:00.0,74.8,23.0154
175,0104-0000007940,BOL,1,1,1,AJP,1,4211,11001,VSE,1101,1422,1101,1103,1,00:00.0,122.366,37.6511
176,0104-0000007941,BOL,1,1,1,AJP,1,4202,11014,VSE,1101,1422,1101,1103,1,00:00.0,96.9,29.8154
177,0104-0000007942,BOL,1,1,1,AJP,1,4200,11003,VSE,1101,1422,1101,1103,1,00:00.0,62.9,19.3538
178,0104-0000007943,BOL,1,1,1,AJP,1,4204,11009,VSE,1101,1422,1101,1103,1,00:00.0,102.85,31.6462
179,0104-0000007944,BOL,1,1,1,AJP,1,4216,11054,VSE,1101,1422,1101,1103,1,00:00.0,440.3,135.4769
180,0104-0000007945,BOL,1,1,1,AJP,1,4207,11007,VSE,1101,1422,1101,1103,1,00:00.0,68,20.9231
181,0104-0000007946,BOL,1,1,1,AJP,1,4205,11016,VSE,1101,1422,1101,1103,1,00:00.0,84.966,26.1434
182,0104-0000007947,BOL,1,1,1,AJP,1,4213,11019,VSE,1101,1422,1101,1103,1,00:00.0,78.2,24.0615
183,0104-0000007948,BOL,1,1,1,AJP,1,4210,11017,VSE,1101,1422,1101,1103,1,00:00.0,57.766,17.7742
184,0104-0000007949,BOL,1,1,1,AJP,1,4214,11020,VSE,1101,1422,1101,1103,1,00:00.0,37.4,11.5077
185,0104-0000007950,BOL,1,1,1,AJP,1,4215,11025,VSE,1101,1422,1101,1103,1,00:00.0,38.54,11.8585
186,0104-0000007951,BOL,1,1,1,AJP,1,4199,11037,VSE,1101,1422,1101,1103,1,00:00.0,56.3,17.3231
187,0104-0000007952,BOL,1,1,1,AJP,1,4209,11038,VSE,1101,1422,1101,1103,1,00:00.0,801.856,246.7249
188,0104-0000007953,BOL,1,1,1,AJP,1,4203,11046,VSE,1101,1422,1101,1103,1,00:00.0,901.952,277.5237
189,0104-0000007954,BOL,1,1,1,AJP,1,4208,11053,VSE,1101,1422,1101,1103,1,00:00.0,1760.01,541.5415
190,0104-0000007956,BOL,1,1,1,AJP,1,4206,11011,VSE,1101,1422,1101,1103,1,00:00.0,454.24,139.7662
191,0104-0000007957,BOL,1,1,1,AJP,1,4211,11026,VSE,1101,1422,1101,1103,1,00:00.0,357.952,110.1391
192,0104-0000007958,BOL,1,1,1,AJP,1,4202,11027,VSE,1101,1422,1101,1103,1,00:00.0,288.048,88.6302
193,0104-0000007959,BOL,1,1,1,AJP,1,4200,11018,VSE,1101,1422,1101,1103,1,00:00.0,230,70.7692
194,0104-0000007960,BOL,1,1,1,AJP,1,4204,11039,VSE,1101,1422,1101,1103,1,00:00.0,149.99,46.1508
195,0104-0000007961,BOL,1,1,1,AJP,1,4216,11029,VSE,1101,1422,1101,1103,1,00:00.0,119.99,36.92
196,0104-0000007962,BOL,1,1,1,AJP,1,4207,11006,VSE,1101,1422,1101,1103,1,00:00.0,79,24.3077
197,0104-0000007963,BOL,1,1,1,AJP,1,4205,11002,VSE,1101,1422,1101,1103,1,00:00.0,99.9,30.7385
198,0104-0000007964,BOL,1,1,1,AJP,1,4213,11004,VSE,1101,1422,1101,1103,1,00:00.0,169.99,52.3046
199,0104-0000007965,BOL,1,1,1,AJP,1,4210,11028,VSE,1101,1422,1101,1103,1,00:00.0,120.99,37.2277
200,0104-0000007966,BOL,1,1,1,AJP,1,4214,11052,VSE,1101,1422,1101,1103,1,00:00.0,35,10.7692
201,0104-0000007967,BOL,1,1,1,AJP,1,4215,11044,VSE,1101,1422,1101,1103,1,00:00.0,199.9,61.5077
202,0104-0000007968,BOL,1,1,1,AJP,1,4199,11049,VSE,1101,1422,1101,1103,1,00:00.0,23.4,7.2
203,0104-0000007969,BOL,1,1,1,AJP,1,4209,11050,VSE,1101,1422,1101,1103,1,00:00.0,99.9,30.7385
204,0104-0000007970,BOL,1,1,1,AJP,1,4203,11051,VSE,1101,1422,1101,1103,1,00:00.0,174.6,53.7231
205,0104-0000007971,BOL,1,1,1,AJP,1,4208,11012,VSE,1101,1422,1101,1103,1,00:00.0,125.9,38.7385
206,0104-0000007972,BOL,1,1,1,AJP,1,4201,11015,VSE,1101,1422,1101,1103,1,00:00.0,96.3,29.6308
207,0104-0000007973,BOL,1,1,1,AJP,1,4206,11030,VSE,1101,1422,1101,1103,1,00:00.0,88.4,27.2
208,0104-0000007974,BOL,1,1,1,AJP,1,4211,11022,VSE,1101,1422,1101,1103,1,00:00.0,75.6,23.2615
209,0104-0000007975,BOL,1,1,1,AJP,1,4202,11024,VSE,1101,1422,1101,1103,1,00:00.0,26.3,8.0923
