IDVenta,CodigoProducto,Cantidad,Venta_MonNacional,Venta_MonExtranjera,Descuento_MonNacional,Descuento_MonExtranjera,Impuesto_MonNacional,Impuesto_MonExtranjera,Costo_MonNacional,Costo_MonExtranjera,Codigo_UnidadMedida,Codigo_UnidadMedida_Venta
163,4012,1,84.966,26.1434,0,0,16.1435,4.9672,29.2008,8.9849,UNI,NULL
164,4015,1,87.04,26.7815,0,0,16.5376,5.0885,29.9136,9.2042,UNI,NULL
165,4017,2,55.964,17.2197,0,0,10.6332,3.2718,9.6168,2.959,UNI,NULL
166,4018,1,26.69,8.2123,0,0,5.0711,1.5603,9.1727,2.8224,UNI,NULL
167,4020,1,71.57,22.0215,0,0,13.5983,4.1841,24.5969,7.5683,UNI,NULL
168,4022,1,68,20.9231,0,0,12.92,3.9754,23.37,7.1908,UNI,NULL
169,4023,1,64.566,19.8665,0,0,12.2675,3.7746,22.1898,6.8276,UNI,NULL
170,4024,1,64.566,19.8665,0,0,12.2675,3.7746,22.1898,6.8276,UNI,NULL
171,4025,1,57.766,17.7742,0,0,10.9755,3.3771,19.8528,6.1086,UNI,NULL
172,4026,1,82.62,25.4215,0,0,15.6978,4.8301,28.3946,8.7368,UNI,NULL
173,4027,1,74.766,23.0049,0,0,14.2055,4.3709,25.6953,7.9062,UNI,NULL
174,4028,1,74.8,23.0154,0,0,14.212,4.3729,25.707,7.9098,UNI,NULL
175,4030,1,122.366,37.6511,0,0,23.2495,7.1537,42.0543,12.9398,UNI,NULL
176,4031,1,96.9,29.8154,0,0,18.411,5.6649,33.3023,10.2469,UNI,NULL
177,4037,1,62.9,19.3538,0,0,11.951,3.6772,17.3993,5.3536,UNI,NULL
178,4039,1,102.85,31.6462,0,0,19.5415,6.0128,28.4501,8.7539,UNI,NULL
179,4074,1,440.3,135.4769,0,0,83.657,25.7406,169.7745,52.2383,UNI,NULL
180,4085,1,68,20.9231,0,0,12.92,3.9754,26.22,8.0677,UNI,NULL
181,4086,1,84.966,26.1434,0,0,16.1435,4.9672,32.7619,10.0806,UNI,NULL
182,4102,2,78.2,24.0615,0,0,14.858,4.5717,16.0598,4.9415,UNI,NULL
183,4108,1,57.766,17.7742,0,0,10.9755,3.3771,23.7265,7.3005,UNI,NULL
184,4112,1,37.4,11.5077,0,0,7.106,2.1865,15.3615,4.7266,UNI,NULL
185,2105,1,38.54,11.8585,0,0,7.3226,2.2531,7.3226,2.2531,UNI,NULL
186,2104,1,56.3,17.3231,0,0,10.697,3.2914,10.697,3.2914,UNI,NULL
187,2113,1,801.856,246.7249,0,0,152.3526,46.8777,475.8645,146.4198,UNI,NULL
188,2112,1,901.952,277.5237,0,0,171.3709,52.7295,535.2775,164.7008,UNI,NULL
189,2111,1,1760.01,541.5415,0,0,334.4019,102.8929,89.3201,27.4831,UNI,NULL
190,2109,1,454.24,139.7662,0,0,86.3056,26.5556,268.4795,82.6091,UNI,NULL
191,2108,1,357.952,110.1391,0,0,68.0109,20.9264,212.4295,65.3629,UNI,NULL
192,2107,1,288.048,88.6302,0,0,54.7291,16.8397,170.9525,52.6008,UNI,NULL
193,2099,1,230,70.7692,0,0,43.7,13.4462,43.7,13.4462,UNI,NULL
194,2098,1,149.99,46.1508,0,0,28.4981,8.7686,28.4981,8.7686,UNI,NULL
195,2097,1,119.99,36.92,0,0,22.7981,7.0148,22.7981,7.0148,UNI,NULL
196,2096,1,79,24.3077,0,0,15.01,4.6185,15.01,4.6185,UNI,NULL
197,2095,1,99.9,30.7385,0,0,18.981,5.8403,18.981,5.8403,UNI,NULL
198,2094,1,169.99,52.3046,0,0,32.2981,9.9379,32.2981,9.9379,UNI,NULL
199,2093,1,120.99,37.2277,0,0,22.9881,7.0733,22.9881,7.0733,UNI,NULL
200,2092,1,35,10.7692,0,0,6.65,2.0462,6.65,2.0462,UNI,NULL
201,2091,1,199.9,61.5077,0,0,37.981,11.6865,37.981,11.6865,UNI,NULL
202,2090,1,23.4,7.2,0,0,4.446,1.368,4.446,1.368,UNI,NULL
203,2089,1,99.9,30.7385,0,0,18.981,5.8403,18.981,5.8403,UNI,NULL
204,2088,1,174.6,53.7231,0,0,33.174,10.2074,33.174,10.2074,UNI,NULL
205,2087,1,125.9,38.7385,0,0,23.921,7.3603,23.921,7.3603,UNI,NULL
206,2086,1,96.3,29.6308,0,0,18.297,5.6298,18.297,5.6298,UNI,NULL
207,2085,1,88.4,27.2,0,0,16.796,5.168,16.796,5.168,UNI,NULL
208,2084,1,75.6,23.2615,0,0,14.364,4.4197,14.364,4.4197,UNI,NULL
209,2078,1,26.3,8.0923,0,0,4.997,1.5375,9.205,2.8323,UNI,NULL
210,2077,1,12.3,3.7846,0,0,2.337,0.7191,4.305,1.3246,UNI,NULL
211,2076,1,16.3,5.0154,0,0,3.097,0.9529,5.705,1.7554,UNI,NULL
212,2101,1,55.2,16.9846,0,0,10.488,3.2271,10.488,3.2271,UNI,NULL
213,2023,1,75.6,23.2615,0,0,14.364,4.4197,34.02,10.4677,UNI,NULL
214,2022,1,11.99,3.6892,0,0,2.2781,0.701,5.3955,1.6602,UNI,NULL
215,2021,1,24.5,7.5385,0,0,4.655,1.4323,11.025,3.3923,UNI,NULL
216,2020,3,40.5,12.4615,0,0,7.695,2.3677,6.075,1.8692,UNI,NULL
217,2016,1,68.9,21.2,0,0,13.091,4.028,31.005,9.54,UNI,NULL
218,2018,1,96.42,29.6677,0,0,18.3198,5.6369,43.389,13.3505,UNI,NULL
219,2029,1,105.6,32.4923,0,0,20.064,6.1735,47.52,14.6215,UNI,NULL
220,2027,1,75.6,23.2615,0,0,14.364,4.4197,34.02,10.4677,UNI,NULL
221,2032,1,12.6,3.8769,0,0,2.394,0.7366,5.67,1.7446,UNI,NULL
222,2031,1,99.99,30.7662,0,0,18.9981,5.8456,44.9955,13.8448,UNI,NULL
223,2034,1,78.6,24.1846,0,0,14.934,4.5951,35.37,10.8831,UNI,NULL
224,2012,1,16.9,5.2,0,0,3.211,0.988,7.605,2.34,UNI,NULL
225,2068,1,15.6,4.8,0,0,2.964,0.912,3.744,1.152,UNI,NULL
226,2067,1,51.45,15.8308,0,0,9.7755,3.0078,12.348,3.7994,UNI,NULL
227,2060,1,61.5,18.9231,0,0,11.685,3.5954,14.76,4.5415,UNI,NULL
228,2064,1,21.1,6.4923,0,0,4.009,1.2335,5.064,1.5582,UNI,NULL
229,2058,1,29.99,9.2277,0,0,5.6981,1.7533,7.1976,2.2146,UNI,NULL
230,2062,1,17.44,5.3662,0,0,3.3136,1.0196,4.1856,1.2879,UNI,NULL
231,2045,1,46.65,14.3538,0,0,8.8635,2.7272,19.593,6.0286,UNI,NULL
232,2044,1,39.65,12.2,0,0,7.5335,2.318,16.653,5.124,UNI,NULL
233,2043,1,28.9,8.8923,0,0,5.491,1.6895,12.138,3.7348,UNI,NULL
234,1142,1,8500,2615.3846,1275,392.3077,1615,496.9231,5272.5,1622.3077,UNI,NULL
235,1135,1,1904,585.8462,0,0,361.76,111.3108,1181.04,363.3969,UNI,NULL
236,1133,1,2548.3,784.0923,0,0,484.177,148.9775,1580.6955,486.3678,UNI,NULL
237,1083,1,1037.68,319.2862,0,0,197.1592,60.6644,434.91,133.8185,UNI,NULL
238,1096,1,2117.69,651.5969,0,0,402.3611,123.8034,923.0637,284.0196,UNI,NULL
239,1119,1,1035.98,318.7631,0,0,196.8362,60.565,451.5654,138.9432,UNI,NULL
240,1111,1,391.68,120.5169,0,0,74.4192,22.8982,170.7264,52.5312,UNI,NULL
241,1110,1,744.532,229.0868,0,0,141.4611,43.5265,324.5284,99.8549,UNI,NULL
242,1114,1,703.766,216.5434,0,0,133.7155,41.1432,306.7592,94.3874,UNI,NULL
243,1080,1,581.366,178.8818,0,0,110.4595,33.9875,243.6608,74.9726,UNI,NULL
244,1079,1,476,146.4615,0,0,90.44,27.8277,199.5,61.3846,UNI,NULL
245,1078,1,510,156.9231,0,0,96.9,29.8154,213.75,65.7692,UNI,NULL
246,1077,1,424.966,130.7588,0,0,80.7435,24.8442,178.1108,54.8033,UNI,NULL
247,1076,1,642.26,197.6185,0,0,122.0294,37.5475,269.1825,82.8254,UNI,NULL
248,1075,1,642.26,197.6185,0,0,122.0294,37.5475,269.1825,82.8254,UNI,NULL
249,1074,1,679.966,209.2203,0,0,129.1935,39.7518,284.9858,87.6879,UNI,NULL
250,1073,1,747.966,230.1434,0,0,142.1135,43.7272,313.4858,96.4572,UNI,NULL
251,1072,1,510,156.9231,0,0,96.9,29.8154,213.75,65.7692,UNI,NULL
252,1071,1,642.26,197.6185,0,0,122.0294,37.5475,269.1825,82.8254,UNI,NULL
253,1065,1,901,277.2308,0,0,171.19,52.6738,377.625,116.1923,UNI,NULL
254,1040,1,67.592,20.7975,0,0,12.8425,3.9515,39.6606,12.2033,UNI,NULL
255,1010,1,339.966,104.6049,0,0,64.5935,19.8749,199.4801,61.3785,UNI,NULL
256,1002,1,256.666,78.9742,0,0,48.7665,15.0051,150.6026,46.3393,UNI,NULL
257,2148,1,1356.6,417.4154,0,0,257.754,79.3089,750.519,230.9289,UNI,NULL
258,2154,1,2499,768.9231,0,0,474.81,146.0954,1649.34,507.4892,UNI,NULL
259,2155,1,546.856,168.2634,0,0,103.9026,31.97,302.54,93.0892,UNI,NULL
260,2156,1,482.46,148.4492,0,0,91.6674,28.2054,266.9139,82.1274,UNI,NULL
261,2157,1,625.26,192.3877,0,0,118.7994,36.5537,345.9159,106.4357,UNI,NULL
262,2158,1,329.63,101.4246,0,0,62.6297,19.2707,182.363,56.1117,UNI,NULL
263,3004,1,45.6,14.0308,0,0,8.664,2.6658,9.576,2.9465,UNI,NULL
264,3006,1,35,10.7692,0,0,6.65,2.0462,7.35,2.2615,UNI,NULL
265,3010,1,159,48.9231,0,0,30.21,9.2954,33.39,10.2738,UNI,NULL
266,3012,1,78.6,24.1846,0,0,14.934,4.5951,16.506,5.0788,UNI,NULL
267,3013,1,59.3,18.2462,0,0,11.267,3.4668,12.453,3.8317,UNI,NULL
268,3026,1,79.6,24.4923,0,0,15.124,4.6535,32.636,10.0418,UNI,NULL
269,3046,1,62.31,19.1723,0,0,11.8389,3.6427,11.2158,3.451,UNI,NULL
270,4011,1,57.766,17.7742,0,0,10.9755,3.3771,19.8528,6.1086,UNI,NULL
271,4013,1,67.966,20.9126,0,0,12.9135,3.9734,23.3583,7.1872,UNI,NULL
272,4014,2,370.6,114.0308,0,0,70.414,21.6658,63.6833,19.5949,UNI,NULL
273,4019,1,62.9,19.3538,0,0,11.951,3.6772,21.6173,6.6515,UNI,NULL
274,4041,1,82.586,25.4111,0,0,15.6913,4.8281,22.8447,7.0291,UNI,NULL
275,4042,1,101.966,31.3742,0,0,19.3735,5.9611,28.2056,8.6786,UNI,NULL
276,4043,1,144.5,44.4615,0,0,27.455,8.4477,39.9713,12.2989,UNI,NULL
277,4044,1,117.3,36.0923,0,0,22.287,6.8575,32.4473,9.9838,UNI,NULL
278,4045,1,101.966,31.3742,0,0,19.3735,5.9611,28.2056,8.6786,UNI,NULL
279,4046,1,144.5,44.4615,0,0,27.455,8.4477,39.9713,12.2989,UNI,NULL
280,4047,1,144.5,44.4615,0,0,27.455,8.4477,39.9713,12.2989,UNI,NULL
281,4048,1,76.568,23.5594,0,0,14.5479,4.4763,21.1801,6.517,UNI,NULL
282,4049,1,168.3,51.7846,0,0,31.977,9.8391,46.5548,14.3246,UNI,NULL
283,4051,1,98.566,30.328,0,0,18.7275,5.7623,27.2651,8.3893,UNI,NULL
284,4052,1,139.4,42.8923,0,0,26.486,8.1495,38.5605,11.8648,UNI,NULL
285,4053,1,113.9,35.0462,0,0,21.641,6.6588,31.5068,9.6944,UNI,NULL
286,4054,1,110.5,34,0,0,20.995,6.46,30.5663,9.405,UNI,NULL
287,4055,1,76.5,23.5385,0,0,14.535,4.4723,21.1613,6.5112,UNI,NULL
288,4056,1,144.5,44.4615,0,0,27.455,8.4477,39.9713,12.2989,UNI,NULL
289,4057,1,97.478,29.9932,0,0,18.5208,5.6987,26.9641,8.2966,UNI,NULL
290,4058,1,67.966,20.9126,0,0,12.9135,3.9734,18.8006,5.7848,UNI,NULL
291,4060,1,151.266,46.5434,0,0,28.7405,8.8432,41.8428,12.8747,UNI,NULL
292,4061,1,268.6,82.6462,0,0,51.034,15.7028,74.2995,22.8614,UNI,NULL
